month,location_name,payment_count,total_collected,avg_payment_amount,voided_payment_count,voided_amount,active_days_with_payments
2026-01,Boracay,2904,4288620,1476.8,26,33725,31
2026-01,Coron,1036,943600,910.81,9,8000,31
2026-02,Boracay,2827,4257250,1505.93,47,57425,28
2026-02,Coron,1006,931900,926.34,7,7000,28
2026-03,Boracay,3323,5065169.97,1524.28,45,65994.97,31
2026-03,Coron,1154,956000,828.42,10,8900,31
2026-04,Boracay,3528,5587784.96,1583.84,56,68174.96,30
2026-04,Coron,1071,929080,867.49,1,1000,30
2026-05,Boracay,3205,5642085,1760.4,29,43785,31
2026-05,Coron,995,804700,808.74,1,1000,31
2026-06,Boracay,333,603780,1813.15,8,9190,4
2026-06,Coron,93,63600,683.87,1,300,3
