rank,driver_ref,location_name,outstanding_balance,unpaid_item_count,oldest_unpaid_date,days_past_due,pct_of_total_unpaid
1,DRV-C912C2CE597A,Boracay,9450,18,2026-03-07,54,5.25
2,DRV-D504B56D3D11,Boracay,4675,16,2026-02-12,77,2.6
3,DRV-C69D57D1FB65,Coron,4000,4,2026-02-12,77,2.22
4,DRV-18D5FCD340C7,Coron,4000,4,2026-03-04,57,2.22
5,DRV-2265B9BB7964,Coron,3600,4,2026-03-09,52,2
6,DRV-E14BDDAC6BB3,Boracay,3350,19,2026-01-10,110,1.86
7,DRV-531E89895E84,Coron,3100,4,2026-01-25,95,1.72
8,DRV-51890C5B42D0,Boracay,2950,11,2026-01-15,105,1.64
9,DRV-CB71F3B9DDD9,Boracay,2450,10,2026-01-10,110,1.36
10,DRV-24C734273B38,Boracay,2375,10,2026-01-29,91,1.32
11,DRV-F61A4C925A2E,Boracay,2300,15,2026-01-15,105,1.28
12,DRV-293F7861AE07,Boracay,2225,8,2026-03-12,49,1.24
13,DRV-0BD73269AD1B,Boracay,2150,6,2026-03-12,49,1.19
14,DRV-1BCEF52C099E,Boracay,2150,8,2026-03-12,49,1.19
15,DRV-065778910AE0,Boracay,2125,16,2026-01-08,112,1.18
16,DRV-4D222BA83E2D,Coron,2000,2,2026-01-22,98,1.11
17,DRV-D6F9E2647ABA,Boracay,2000,9,2026-02-09,80,1.11
18,DRV-BC98C621A441,Coron,2000,2,2026-02-18,71,1.11
19,DRV-B3CE9EDE27B6,Coron,2000,2,2026-02-21,68,1.11
20,DRV-93946D55481A,Coron,2000,2,2026-04-12,18,1.11
21,DRV-AC37EE6940AA,Boracay,1950,17,2026-01-10,110,1.08
22,DRV-AC19EAD20EFB,Boracay,1900,11,2026-02-05,84,1.06
23,DRV-DA8235020CF7,Boracay,1775,6,2026-03-20,41,0.99
24,DRV-0D9F15A298A6,Boracay,1750,7,2026-01-10,110,0.97
25,DRV-98A62DE6FF89,Coron,1700,2,2026-01-22,98,0.94
