type,line_count,gross_charge_amount,discount_amount,collected_amount,unpaid_amount,voided_line_count,fully_paid_count,partial_paid_count,unpaid_count,net_billed_amount,collection_rate_pct
VEHICLE_LEASE,17323,13631270,0,13501545,129725,1776,13256,543,53,13631270,99.05
UNLIMITED_BATTERY_FEE,14170,7277350,0,7233775,43575,441,9575,294,8,7277350,99.4
AMORTIZATION,128,1003100,0,1003100,0,0,128,0,0,1003100,100
BATTERY_SWAP,43193,705340,0,701965,3375,901,1558,14,4,705340,99.52
CUSTOM_CHARGE,2444,170125,0,165575,4550,103,2260,3,78,170125,97.33
MAINTENANCE,22,71140,0,70990,150,2,19,1,0,71140,99.79
HOURLY_EXTENSION,17,4110,0,4035,75,2,14,1,0,4110,98.18
REBATE_CHARGE,1,50,0,50,0,0,1,0,0,50,100
PAYMENT,16866,0,0,22980329.93,0,201,0,0,0,0,0
HOURLY_WAIT_DISCOUNT,859,0,141224.79,0,0,0,0,0,0,-141224.79,0
CUSTOM_DISCOUNT,1,0,700,0,0,0,0,0,0,-700,0
